

Dhoomapaana





   
   Dhoomapaana

Chikitsaa Karma,Dhoomapaana
Arha Vyaadhi,Netra Roga --) Sarvagata --) Adhimantha
Arha Vyaadhi,Netra Roga --) Sarvagata --) Adhimantha --) Kaphaja Adhimantha
Arha Vyaadhi,Netra Roga --) Sarvagata --) Adhimantha --) Raktaja Adhimantha
Arha Vyaadhi,Netra Roga --) Sarvagata --) Adhimantha --) Vaataja Adhimantha
Arha Vyaadhi,Netra Roga --) Vartmagata --) Krichchhronmeelana
Arha Vyaadhi,Netra Roga --) Vartmagata --) Pilla
Arha Vyaadhi,Nidraadhikya
Arha Vyaadhi,Paan`d`u
Arha Vyaadhi,Praseka
Arha Vyaadhi,S`hiroroga --) Ardhaavabhedaka
Arha Vyaadhi,S`hiroroga --) Avasthaa --) Marma Bheda
Arha Vyaadhi,S`hiroroga --) Avasthaa --) S`hirah Jaad`ya
Arha Vyaadhi,S`hiroroga --) Avasthaa --) S`hirahs`hoola
Arha Vyaadhi,S`hiroroga --) Avasthaa --) S`hirogaurava
Arha Vyaadhi,S`hiroroga --) Kapaalagata S`hiroroga --) Khaalitya
Arha Vyaadhi,S`hiroroga --) Kapaalagata S`hiroroga --) Paalitya
Arha Vyaadhi,S`hiroroga --) Kaphaja S`hiroroga
Arha Vyaadhi,S`hotha
Arha Vyaadhi,S`hvaasa
Arha Vyaadhi,S`hvaasa --) Avasthaa --) Durbala
Arha Vyaadhi,S`hvaasa --) Avasthaa --) Vaata Kapaha Vibandha
Arha Vyaadhi,S`hvaasa --) Avasthaa --) Vaataanubandha
Arha Vyaadhi,Santarpan`ajanya Vyadhi
Arha Vyaadhi,Sanyaasa
Arha Vyaadhi,Sthaanabhedena Graha --) Manyaa Graha
Arha Vyaadhi,Sthaulya
Arha Vyaadhi,Svarabheda
Arha Vyaadhi,Svarabheda --) Kaphaja
Arha Vyaadhi,Tandraa
Arha Vyaadhi,Udaavarta --) Chhardi Nirodhaja
Arha Vyaadhi,Udaavarta --) Kshavathu Nirodhaja
Arha Vyaadhi,Unmaada
Arha Vyaadhi,Vaatavyaadhi
Arha Vyaadhi,Vaatavyaadhi --) Ardita
Arha Vyaadhi,Vaatavyaadhi --) Avasthaa --) Nirupastambhita Vaata
Arha Vyaadhi,Vaatavyaadhi --) Hanugraha
Arha Vyaadhi,Vaatavyaadhi --) Hanustambha
Arha Vyaadhi,Vaatavyaadhi --) Manyaastambha
Arha Vyaadhi,Vaatavyaadhi --) S`hirogata Vaata
Arha Vyaadhi,Vegaavarodhajanya Vyaadhi --) Chhardivegaavarodhajanya Vyaadhi
Arha Vyaadhi,Visha Roga
Arha Vyaadhi,Visha Roga --) Gara Visha
Arha Vyaadhi,Visha Roga --) Jangama Visha --) Lootaa Visha
Arha Vyaadhi,Vran`a --) Avasthaa --) Oordhvajatrugata + Kaphavaataja + S`hotha + Sraava + Rujaa
Arha Vyaadhi,Vyaapad --) Basti Vyaapad --) Nirooha Vyaapad:- Hikkaa
Arha Vyaadhi,Vyaapad --) Basti Vyaapad --) Nirooha Vyaapad:- Oordhvapraapti --) S`hirasthita Dosha
Arha Vyaadhi,Vyaapad --) Basti Vyaapad --) Nirooha Vyaapad:- S`hirorti
Arha Avasthaa,Nasya Pas`hchaat
Arha Avasthaa,Vamana Pas`hchaat
Anarha Vyaadhi Prakaara,Pittaja Vyaadhi
Anarha Vyaadhi,Aamadosha
Anarha Vyaadhi,Bhrama
Anarha Vyaadhi,Chhardi
Anarha Vyaadhi,Daaha
Anarha Vyaadhi,Kshataksheen`a
Anarha Vyaadhi,Mada
Anarha Vyaadhi,Madaatyaya
Anarha Vyaadhi,Moorchchhaa
Anarha Vyaadhi,Mukha Roga --) Kan`t`hagata Roga --) Rohin`ee
Anarha Vyaadhi,Mukha Roga --) Taalugata Roga --) Taalus`hosha
Anarha Vyaadhi,Netra Roga --) Drisht`igata --) Timira
Anarha Vyaadhi,Paan`d`u
Anarha Vyaadhi,Prameha
Anarha Vyaadhi,Raktapitta
Anarha Vyaadhi,S`hiroroga --) Avasthaa --) S`hira Abhihata
Anarha Vyaadhi,S`hiroroga --) S`hamkhaka
Anarha Vyaadhi,Trishn`aa (Pipaasaa)
Anarha Vyaadhi,Udaavarta
Anarha Vyaadhi,Udara
Anarha Vyaadhi,Urahkshata
Anarha Vyaadhi,Vaatavyaadhi --) Aadhmaana
Anarha Vyaadhi,Vaatavyaadhi --) Oordhvavaata
Anarha Vyaadhi,Visha Roga
Anarha Avasthaa,Apatarpita
Anarha Avasthaa,Baala
Anarha Avasthaa,Basti Pas`hchaat
Anarha Avasthaa,Bhayabheeta
Anarha Avasthaa,Bhukta
Anarha Avasthaa,Dadhi Peeta
Anarha Avasthaa,Dugdha Sevana Pas`hchaat
Anarha Avasthaa,Durbala
Anarha Avasthaa,Garbhin`ee
Anarha Avasthaa,Jaagareeta
Anarha Avasthaa,Jalapaana Pas`hchaat
Anarha Avasthaa,Kriddha
Anarha Avasthaa,Madhu Sevana Pas`hchaat
Anarha Avasthaa,Madyapaana Pas`hchaat
Anarha Avasthaa,Matsya Khaadita
Anarha Avasthaa,Prajaagara
Anarha Avasthaa,Rooksha S`hareera
Anarha Avasthaa,S`hokagrasta
Anarha Avasthaa,S`hraanta
Anarha Avasthaa,Snehpaana Pas`hchaat
Anarha Avasthaa,Virechana Pas`hchaat
Anarha Avasthaa,Vriddha
Samyak Yoga Lakshan`a,Indriya Laaghava
Samyak Yoga Lakshan`a,Kan`t`ha S`huddhee
Samyak Yoga Lakshan`a,Kapha Tanutaa
Samyak Yoga Lakshan`a,Rogopas`hama
Samyak Yoga Lakshan`a,S`hira Laghutva
Samyak Yoga Lakshan`a,Urah S`hushkataa
Atiyoga Lakshan`a,Aandhya
Atiyoga Lakshan`a,Baadhirya
Atiyoga Lakshan`a,Bhrama
