

Upanaaha Sveda





   
   Upanaaha Sveda 



Chikitsaa Karma,Upanaaha Sveda
Arha Vyaadhi,Vaatavyaadhi --) Ekaangavaata
Arha Vyaadhi,Vaatavyaadhi --) Gridhrasee
Arha Vyaadhi,Vaatavyaadhi --) Indriyagata Vaata
Arha Vyaadhi,Vaatavyaadhi --) Khallee
Arha Vyaadhi,Vaatavyaadhi --) Maamsagata Vaata
Arha Vyaadhi,Vaatavyaadhi --) Manyaastambha
Arha Vyaadhi,Vaatavyaadhi --) Pakshavadha
Arha Vyaadhi,Vaatavyaadhi --) Raktagata Vaata
Arha Vyaadhi,Vaatavyaadhi --) Sandhigata Vaata
Arha Vyaadhi,Vaatavyaadhi --) Siraagata Vaata
Arha Vyaadhi,Vaatavyaadhi --) Snaayugata Vaata
Arha Vyaadhi,Vaatavyaadhi --) Tvaggata Vaata
Arha Vyaadhi,Vidradhi
Arha Vyaadhi,Vidradhi --) Aabhyantara Vidradhi
Arha Vyaadhi,Vidradhi --) Avasthaa --) Unnata --) Kosht`hastha + Pachyamaana + Bahih Unnata
Arha Vyaadhi,Vidradhi --) Kaphaja Vidradhi
Arha Vyaadhi,Vidradhi --) Vaataja
Arha Vyaadhi,Visha Roga --) Jangama Visha --) Vris`hchika Visha
Arha Vyaadhi,Vran`a
Arha Vyaadhi,Vran`a --) Aagantuja (Sadyo) Vran`a --) Avakritta Aagantuja Vran`a
Arha Vyaadhi,Vran`a --) Aagantuja (Sadyo) Vran`a --) Bhinna Aagantuja Vran`a
Arha Vyaadhi,Vran`a --) Aagantuja (Sadyo) Vran`a --) Chhinna Aagantuja Vran`a
Arha Vyaadhi,Vran`a --) Aagantuja (Sadyo) Vran`a --) Kshata Aagantuja Vran`a
Arha Vyaadhi,Vran`a --) Aagantuja (Sadyo) Vran`a --) Paatita Aagantuja Vran`a
Arha Vyaadhi,Vran`a --) Aagantuja (Sadyo) Vran`a --) Pravilambita Aagantuja Vran`a
Arha Vyaadhi,Vran`a --) Aagantuja (Sadyo) Vran`a --) Viddha Aagantuja Vran`a
Arha Vyaadhi,Vran`a --) Avasthaa --) Anudhrita S`halya
Arha Vyaadhi,Vran`a --) Avasthaa --) S`hotha
Arha Vyaadhi,Vran`a --) Vaataja Vran`a --) Daaha + Vedanaa
Arha Vyaadhi,Vran`as`hotha
Arha Vyaadhi,Vran`as`hotha --) Avasthaa --) Aama
Arha Vyaadhi,Vran`as`hotha --) Avasthaa --) Anivartamaana Vran`a S`hopha
Arha Vyaadhi,Vran`as`hotha --) Avasthaa --) Pachyamaana Vran`as`hotha
Arha Vyaadhi,Vriddhi --) Vaataja Vriddhi
Effect on Dosha,Dosha Paachana
Effect on Dosha,Vaataghna
Effect on Mala,Svedakara
More Information,Anagni Sveda Upanaaha.htm



