

Agnikarma





Agnikarma



Chikitsaa Karma,Agni Karma
Arha Vyaadhi,Vaatavyaadhi --) Siraagata Vaata
Arha Vyaadhi,Vaatavyaadhi --) Snaayugata Vaata
Arha Vyaadhi,Vaatavyaadhi --) Vis`hvaachee
Arha Vyaadhi,Visarpa --) Kaphavataja (Granthi Visarpa)
Arha Vyaadhi,Visha Roga
Arha Vyaadhi,Visha Roga --) Avasthaa --) S`hastrakrita Viddha Vran`a
Arha Vyaadhi,Visha Roga --) Jangama Visha
Arha Vyaadhi,Visha Roga --) Jangama Visha --) Maamsagata Visha
Arha Vyaadhi,Visha Roga --) Jangama Visha --) Mooshika Visha
Arha Vyaadhi,Visha Roga --) Jangama Visha --) Rasagata Visha
Arha Vyaadhi,Visha Roga --) Jangama Visha --) Sarpa Visha
Arha Vyaadhi,Visha Roga --) Sthaavara Visha --) Tavk Maamsagata
Arha Vyaadhi,Visha Roga --) Visha Roga :- Prathama Vega
Arha Vyaadhi,Visoochikaa --) Ativriddha Avasthaa
Arha Vyaadhi,Vran`a --) Aagantuja (Sadyo) Vran`a --) Chhinna Aagantuja Vran`a
Arha Vyaadhi,Vran`a --) Aagantuja (Sadyo) Vran`a --) Chhinna Aagantuja Vran`a --) Chhinna Sandhi
Arha Vyaadhi,Vran`a --) Avasthaa --) As`hmaree S`hastrakarma Krita Sraavee Vran`a
Arha Vyaadhi,Vran`a --) Avasthaa --) Gambheera
Arha Vyaadhi,Vran`a --) Avasthaa --) Good`ha
Arha Vyaadhi,Vran`a --) Avasthaa --) Kat`hina Vran`a
Arha Vyaadhi,Vran`a --) Avasthaa --) Klripta Vran`a
Arha Vyaadhi,Vran`a --) Avasthaa --) Laseekaa
Arha Vyaadhi,Vran`a --) Avasthaa --) Naad`ee Vran`a
Arha Vyaadhi,Vran`a --) Avasthaa --) Pooya
Arha Vyaadhi,Vran`a --) Avasthaa --) Rakta Atisraava
Arha Vyaadhi,Vran`a --) Avasthaa --) Rakta Sraava
Arha Vyaadhi,Vran`a --) Avasthaa --) Rujaa
Arha Vyaadhi,Vran`a --) Avasthaa --) S`hoola
Arha Vyaadhi,Vran`a --) Avasthaa --) Stabdha
Arha Vyaadhi,Vran`a --) Avasthaa --) Sthira
Arha Vyaadhi,Vran`a --) Avasthaa --) Sthira Maamsa
Arha Vyaadhi,Vran`a --) Avasthaa --) Utsanna Maamsa
Arha Vyaadhi,Vran`a --) Dusht`a Vran`a
Arha Vyaadhi,Vran`a --) Dusht`a Vran`a --) Durvis`hodhya Vran`a
Arha Vyaadhi,Vran`a --) Vaataja Vran`a --) Raktasraava
Arha Vyaadhi,Vran`a --) Vaataja Vran`a --) S`hoola
Arha Vyaadhi,Vran`a --) Vaataja Vran`a --) Sthira
Arha Vyaadhi,Vriddhi --) Aantraja
Arha Vyaadhi,Vriddhi --) Avasthaa --) Snehe Virechane Anuvaasane As`haanti
Arha Vyaadhi,Vriddhi --) Kaphaja
Arha Vyaadhi,Vriddhi --) Mootraja --) Apraapta Phalakosha
Arha Vyaadhi,Vriddhi --) Vaataja Vriddhi
Arha Vyaadhi,Vyaapad --) Linganaas`ha S`hastrakarma Vyaapad --) Netra Vedanaa + Raaga
Arha Avasthaa,Aachooshan`a Pas`hchaat
Arha Avasthaa,Chhedana Pas`hchaat
Anarha Vyaadhi,Bhagandara --) Usht`ragreeva
Anarha Vyaadhi,Paan`d`u
Anarha Vyaadhi,Prameha
Anarha Vyaadhi,Raktapitta
Anarha Vyaadhi,S`hiroroga --) S`hirah Kampa
Anarha Vyaadhi,Visha Roga --) Jangama Visha --) Sarpa Visha
Anarha Vyaadhi,Visha Roga --) Jangama Visha --) Sarpa Visha --) Man`d`alina Sarpa Visha
Anarha Vyaadhi,Vran`a --) Avasthaa --) Anudhrita S`halya
Anarha Vyaadhi,Vran`a --) Avasthaa --) Kusht`haja Vran`a
Anarha Vyaadhi,Vran`a --) Avasthaa --) Marmagata Vran`a
Anarha Vyaadhi,Vran`a --) Avasthaa --) Raktasanchita Vran`a
Anarha Vyaadhi,Vran`a --) Avasthaa --) S`halya Garbha Vran`a
Anarha Vyaadhi,Vran`a --) Avasthaa --) S`halyayukta Vran`a
Anarha Vyaadhi,Vran`a --) Avasthaa --) Vishaja Vran`a
Anarha Vyaadhi,Vran`a --) Avayava Bheda --) Netra Vran`a
Anarha Avasthaa,Antah Asrik
Anarha Avasthaa,Asvedya
Anarha Avasthaa,Baala
Anarha Avasthaa,Bheeru
Anarha Avasthaa,Bhinna Kosht`ha
Anarha Avasthaa,Durbala
Anarha Avasthaa,Garbhin`ee
Anarha Avasthaa,Kshaarakarma Ayogya
Anarha Avasthaa,Pitta Prakriti
Anarha Avasthaa,Vriddha
Samyak Yoga Lakshan`a,Na Avagaad`ha Vran`a
Samyak Yoga Lakshan`a,Susamsthita Vran`a
Samyak Yoga Lakshan`a,Taala Phala Savarn`a Vran`a
Samyak Yoga Lakshan`a,Tvak Maamsa Dagdha Lakshan`aani
Atiyoga Lakshan`a,Chira Rohita Vran`a
Atiyoga Lakshan`a,Daaha
Atiyoga Lakshan`a,Gaatra Vis`hlesha
Atiyoga Lakshan`a,Jvara
Atiyoga Lakshan`a,Maamsa Lambana
Atiyoga Lakshan`a,Moorchchhaa
Atiyoga Lakshan`a,Rood`ha Tvak Vaivarn`ya
Atiyoga Lakshan`a,Siraa - Snaayu - Sandhi - Asthi Atimaatra Vyaapaadana
Atiyoga Lakshan`a,Trishn`aa
Vyaapad Lakshan`a,Ati Maatra Tvak Vaivarn`ya
Vyaapad Lakshan`a,Chira Rohita Vran`a
Vyaapad Lakshan`a,Daaha
Vyaapad Lakshan`a,Dhoopana
Vyaapad Lakshan`a,Gaatra Vis`hlesha
Vyaapad Lakshan`a,Gambheera Vran`a Utpatti
Vyaapad Lakshan`a,Jvara
Vyaapad Lakshan`a,Moorchchhaa
Vyaapad Lakshan`a,Mrityu
Vyaapad Lakshan`a,Paaka
Vyaapad Lakshan`a,Raaga
Vyaapad Lakshan`a,Rood`ha Tvak Vaivarn`ya
Vyaapad Lakshan`a,Siraa - Snaayu - Sandhi - Asthi Atimaatra Vyaapaadana
Vyaapad Lakshan`a,Siraa Naas`ha
Vyaapad Lakshan`a,Siraa Samkocha
Vyaapad Lakshan`a,Sphot`a
Vyaapad Lakshan`a,Teevra Chosha
Vyaapad Lakshan`a,Teevra Vedanaa
Vyaapad Lakshan`a,Trishn`aa
Effect on Dosha,Vaataghna
Effect on Dhaatu,Maamsa Dusht`ighna
Effect on Srotas,Maamsavaha Srotas
More Information,Agnikarma.htm




