

Abhyanga





   
   Abhyanga 



Chikitsaa Karma,Abhyanga
Arha Vyaadhi,Jvara --) Dosha Bheda - Jvara --) Kaphavaataja --) S`heeta Jvara
Arha Vyaadhi,Jvara --) Dosha Bheda - Jvara --) Pittaja Jvara
Arha Vyaadhi,Jvara --) Dosha Bheda - Jvara --) Pittaja Jvara --) Daaha
Arha Vyaadhi,Jvara --) Dosha Bheda - Jvara --) Sannipaataja Jvara
Arha Vyaadhi,Jvara --) Dosha Bheda - Jvara --) Vaataja Jvara
Arha Vyaadhi,Jvara --) Punaraavartaka
Arha Vyaadhi,Jvara --) Vishama
Arha Vyaadhi,Jvara --) Vishama --) S`heetaka Jvara
Arha Vyaadhi,Kaars`hya
Arha Vyaadhi,Kaasa
Arha Vyaadhi,Kaasa --) Kaphaja Kaasa
Arha Vyaadhi,Kaasa --) Kshataja Kaasa
Arha Vyaadhi,Kaasa --) Kshataja Kaasa --) Vaatapitaanubandha + Gaatra Bheda
Arha Vyaadhi,Kaasa --) Kshayaja Kaasa
Arha Vyaadhi,Kaasa --) Pittaja Kaasa
Arha Vyaadhi,Kaasa --) Vaataja Kaasa
Arha Vyaadhi,Kaasa --) Vaataja Kaasa --) Rooksha S`hareera
Arha Vyaadhi,Kan`d`oo
Arha Vyaadhi,Karn`a Roga
Arha Vyaadhi,Karn`a Roga --) Karn`abaadhirya
Arha Vyaadhi,Karn`a Roga --) Karn`anaada
Arha Vyaadhi,Karn`a Roga --) Karn`apaaligata Roga
Arha Vyaadhi,Karn`a Roga --) Karn`apaaligata Roga --) Duhkhavardhana
Arha Vyaadhi,Karn`a Roga --) Karn`apaaligata Roga --) Karn`a Pali S`hosha
Arha Vyaadhi,Karn`a Roga --) Karn`apaaligata Roga --) Karn`a Tantrikaa
Arha Vyaadhi,Karn`a Roga --) Karn`apaaligata Roga --) Parilehee
Arha Vyaadhi,Karn`a Roga --) Karn`apaaligata Roga --) Unmatha
Arha Vyaadhi,Karn`a Roga --) Karn`apaaligata Roga --) Utpaata
Arha Vyaadhi,Karn`a Roga --) Karn`as`hoola
Arha Vyaadhi,Karn`a Roga --) Karn`as`hoola --) Kaphaja Karn`as`hoola
Arha Vyaadhi,Karn`a Roga --) Karn`as`hoola --) Pittaja Karn`as`hoola
Arha Vyaadhi,Karn`a Roga --) Karn`as`hoola --) Pittaja Karn`as`hoola --) Daaha
Arha Vyaadhi,Karn`a Roga --) Karn`as`hoola --) Pittaja Karn`as`hoola --) Osha
Arha Vyaadhi,Karn`a Roga --) Karn`as`hoola --) Vaataja Karn`as`hoola
Arha Vyaadhi,Klaibya
Arha Vyaadhi,Kotha
Arha Vyaadhi,Krimi Roga
Arha Vyaadhi,Kshataksheen`a
Arha Vyaadhi,Kshaya
Arha Vyaadhi,Kshudra Roga
Arha Vyaadhi,Kshudra Roga --) Arumshikaa
Arha Vyaadhi,Kshudra Roga --) Charmakeela
Arha Vyaadhi,Kshudra Roga --) Chippa
Arha Vyaadhi,Kshudra Roga --) Gudabrams`ha
Arha Vyaadhi,Kshudra Roga --) Indralupta
Arha Vyaadhi,Kshudra Roga --) Mukhadooshikaa
Arha Vyaadhi,Kshudra Roga --) Neelikaa
Arha Vyaadhi,Kshudra Roga --) Paadadaarikaa
Arha Vyaadhi,Kshudra Roga --) Parivartikaa
Arha Vyaadhi,Kshudra Roga --) Tilakaalaka
Arha Vyaadhi,Kshudra Roga --) Vyanga
Arha Vyaadhi,Kusht`ha
Arha Vyaadhi,Kusht`ha --) Avasthaa --) Daaha
Arha Vyaadhi,Kusht`ha --) Avasthaa --) Kusht`haja Vran`a
Arha Vyaadhi,Kusht`ha --) Dhaatugata --) Tvakgata
Arha Vyaadhi,Kusht`ha --) Doshabhedena --) Dvandvaja Kusht`ha --) Vaatakaphaja
Arha Vyaadhi,Kusht`ha --) Doshabhedena --) Vaataja Kusht`ha
Arha Vyaadhi,Maanasa Roga
Arha Vyaadhi,Mada
Arha Vyaadhi,Madaatyaya
Arha Vyaadhi,Madaatyaya --) Dhvamsaka
Arha Vyaadhi,Madaatyaya --) Paanaajeern`a
Arha Vyaadhi,Madaatyaya --) Vaataja
Arha Vyaadhi,Madaatyaya --) Vikshaya
Arha Vyaadhi,Mahaadoshaja Vikaara --) Ati Vyavaayaja
Arha Vyaadhi,Mahaadoshaja Vikaara --) Uchcha / Ati Bhaashyaja
Arha Vyaadhi,Marma Viddha
Arha Vyaadhi,Moha
Arha Vyaadhi,Moorchchhaa
Arha Vyaadhi,Mootra Roga --) Mootraaghaata --) Vaatakun`d`alikaa
Arha Vyaadhi,Mootra Roga --) Mootrakrichchhra
Arha Vyaadhi,Mootra Roga --) Mootrakrichchhra --) Pureeshaja
Arha Vyaadhi,Mootra Roga --) Mootrakrichchhra --) S`hukraja Mootrakrichchhra
Arha Vyaadhi,Mootra Roga --) Mootrakrichchhra --) Vaataja Mootrakrichchhra
Arha Vyaadhi,Mukha Roga
Arha Vyaadhi,Mukha Roga --) Avasthaa --) Mukhaman`d`ala Visphot`a
Arha Vyaadhi,Mukha Roga --) Dantagata Roga --) Avasthaa
Arha Vyaadhi,Mukha Roga --) Dantagata Roga --) Avasthaa --) Danta S`hoola
Arha Vyaadhi,Mukha Roga --) Dantagata Roga --) Chala
Arha Vyaadhi,Mukha Roga --) Dantagata Roga --) S`heetadanta
Arha Vyaadhi,Mukha Roga --) Galagata Roga --) Galagraha
Arha Vyaadhi,Mukha Roga --) Osht`hagata Roga --) Osht`hakopa --) Vaataja
Arha Vyaadhi,Mukha Roga --) Sarvagata --) Arbuda
Arha Vyaadhi,Mukha Roga --) Vaataja
Arha Vyaadhi,Naad`ee Vran`a
Arha Vyaadhi,Naasaa Roga
Arha Vyaadhi,Naasaa Roga --) Naasaanaaha
Arha Vyaadhi,Naasaa Roga --) Naasaas`hosha
Arha Vyaadhi,Naasaa Roga --) Peenasa
Arha Vyaadhi,Naasaa Roga --) Pootinasya
Arha Vyaadhi,Napumsakatva
Arha Vyaadhi,Netra Roga
Arha Vyaadhi,Netra Roga --) Drisht`igata
Arha Vyaadhi,Netra Roga --) Drisht`igata --) Timira
Arha Vyaadhi,Netra Roga --) Drisht`igata --) Timira --) Raktaja Timira
Arha Vyaadhi,Netra Roga --) Drisht`igata --) Timira --) Saannipaatika Timira
Arha Vyaadhi,Netra Roga --) Drisht`igata --) Timira --) Vaataja Timira
Arha Vyaadhi,Netra Roga --) Sarvagata --) Adhimantha
Arha Vyaadhi,Netra Roga --) Sarvagata --) Adhimantha --) Vaataja Adhimantha
Arha Vyaadhi,Nidraanaas`ha
Arha Vyaadhi,Oorustambha
Arha Vyaadhi,Paaka --) Naabhi Paaka
Arha Vyaadhi,Paan`d`u
Arha Vyaadhi,Paars`hva S`hoola
Arha Vyaadhi,Pid`akaa
Arha Vyaadhi,Pid`akaa --) Avasthaa --) Badarasadris`ha Pid`akaa
Arha Vyaadhi,Pittaja Vyaadhi
Arha Vyaadhi,Pleehaa Roga
Arha Vyaadhi,Prameha --) Avasthaa --) Pramehaja Vran`a
Arha Vyaadhi,Raajayakshmaa
Arha Vyaadhi,Raajayakshmaa --) Avasthaa --) Amsa S`hoola
Arha Vyaadhi,Raajayakshmaa --) Avasthaa --) Paars`hva S`hoola
Arha Vyaadhi,Raajayakshmaa --) Avasthaa --) Peenasa
Arha Vyaadhi,Raajayakshmaa --) Avasthaa --) S`hirahs`hoola
Arha Vyaadhi,Raktapitta
Arha Vyaadhi,Raktapitta --) Adhoga Raktapitta --) Gudagata Raktapitta
Arha Vyaadhi,Raktapitta --) Adhoga Raktapitta --) Mootragata Raktapitta
Arha Vyaadhi,S`haitya
Arha Vyaadhi,S`halya --) Asthinasht`a
Arha Vyaadhi,S`halya --) Pranasht`a S`halya
Arha Vyaadhi,S`heetapitta
Arha Vyaadhi,S`hiroroga
Arha Vyaadhi,S`hiroroga --) Avasthaa --) Marma Bheda
Arha Vyaadhi,S`hiroroga --) Avasthaa --) S`hirahs`hoola
Arha Vyaadhi,S`hiroroga --) Kapaalagata S`hiroroga --) Arumshikaa
Arha Vyaadhi,S`hiroroga --) Kapaalagata S`hiroroga --) Daarun`aka
Arha Vyaadhi,S`hiroroga --) Kapaalagata S`hiroroga --) Paalitya
Arha Vyaadhi,S`hiroroga --) Krimija S`hiroroga
Arha Vyaadhi,S`hiroroga --) Vaataja S`hiroroga
Arha Vyaadhi,S`hleepada
Arha Vyaadhi,S`hoola
Arha Vyaadhi,S`hosha
Arha Vyaadhi,S`hosha --) Ekaanga S`hosha
Arha Vyaadhi,S`hotha
Arha Vyaadhi,S`hukra Dosha
Arha Vyaadhi,S`hvaasa
Arha Vyaadhi,S`hvaasa --) Avasthaa --) Grathita Kapha
Arha Vyaadhi,S`hvitra
Arha Vyaadhi,Sannipaata
Arha Vyaadhi,Stambha
Arha Vyaadhi,Stambha --) Baahu Stambha
Arha Vyaadhi,Sthaanabhedena Graha --) Hanu Graha
Arha Vyaadhi,Sthaanabhedena Graha --) Manyaa Graha
Arha Vyaadhi,Sthaanabhedena Graha --) Prisht`ha Graha
Arha Vyaadhi,Sthaanabhedena Graha --) S`hiro Graha
Arha Vyaadhi,Sthaanabhedena S`hoola --) Anga S`hoola
Arha Vyaadhi,Sthaanabhedena S`hoola --) Basti S`hoola
Arha Vyaadhi,Sthaanabhedena S`hoola --) Hrid S`hoola
Arha Vyaadhi,Sthaanabhedena S`hoola --) Jaanu S`hoola
Arha Vyaadhi,Sthaanabhedena S`hoola --) Kan`t`ha S`hoola
Arha Vyaadhi,Sthaanabhedena S`hoola --) Kat`ee S`hoola
Arha Vyaadhi,Sthaanabhedena S`hoola --) Kukshi S`hoola
Arha Vyaadhi,Sthaanabhedena S`hoola --) Prisht`ha S`hoola
Arha Vyaadhi,Sthaanabhedena S`hoola --) S`hirah S`hoola
Arha Vyaadhi,Sthaanabhedena S`hoola --) Urah S`hoola
Arha Vyaadhi,Sthaanabhedena S`hoola --) Vrishan`a S`hoola
Arha Vyaadhi,Sthaanabhedena S`hoola --) Yoni S`hoola
Arha Vyaadhi,Sthaulya
Arha Vyaadhi,Stree Roga --) Avasthaa --) Raja Kshaya
Arha Vyaadhi,Stree Roga --) Mood`hagarbha
Arha Vyaadhi,Stree Roga --) Mood`hagarbha --) Mood`hagarbha Nirharan`a Pas`hchaat
Arha Vyaadhi,Stree Roga --) Mood`hagarbha --) Mood`hagarbha Nirharan`a Pas`hchaat S`hoola
Arha Vyaadhi,Stree Roga --) Raktapradara
Arha Vyaadhi,Stree Roga --) Sagarbhaavasthaa
Arha Vyaadhi,Stree Roga --) Sagarbhaavasthaa --) Kikvisa
Arha Vyaadhi,Stree Roga --) Sootikaa Roga
Arha Vyaadhi,Stree Roga --) Stanya Dusht`i --) Pittaja
Arha Vyaadhi,Stree Roga --) Stanya Dusht`i --) Vaataja
Arha Vyaadhi,Stree Roga --) Yonivyaapad
Arha Vyaadhi,Stree Roga --) Yonivyaapad --) Avasthaa --) Stabdha Yoni
Arha Vyaadhi,Stree Roga --) Yonivyaapad --) Avasthaa --) Uttaana + Unnata + S`hoona + Sasphot`a + Sas`hoola Yoni
Arha Vyaadhi,Stree Roga --) Yonivyaapad --) Avasthaa --) Yoni S`hotha
Arha Vyaadhi,Stree Roga --) Yonivyaapad --) Kaphajaa
Arha Vyaadhi,Stree Roga --) Yonivyaapad --) Pittalaa
