

Abhyanga





   
   Abhyanga 



Chikitsaa Karma,Abhyanga
Arha Vyaadhi,Vyaapad --) Basti Vyaapad --) Nirooha Vyaapad:- Pravaahikaa
Arha Vyaadhi,Vyaapad --) Basti Vyaapad --) Nirooha Vyaapad:- S`hirorti
Arha Vyaadhi,Vyaapad --) Vamana Ayoga
Arha Vyaadhi,Vyaapad --) Vamana-Virechana Vyaapad --) Aadhmaana
Arha Vyaadhi,Vyaapad --) Vamana-Virechana Vyaapad --) Hridayopasaran`a
Arha Vyaadhi,Vyaapad --) Vamana-Virechana Vyaapad --) Udaavarta
Arha Vyaadhi,Vyaapad --) Vamana-Virechana Vyaapad --) Vaatas`hoola
Arha Vyaadhi,Vyaapad --) Virechana Ayoga
Anarha Vyaadhi Prakaara,Kaphaja Vyaadhi
Anarha Vyaadhi Prakaara,Santarpan`ajanya Vyaadhi
Anarha Vyaadhi,Aamadosha
Anarha Vyaadhi,Ajeern`a
Anarha Vyaadhi,Jvara --) Avasthaa --) Nava Jvara
Anarha Avasthaa,Kapha Vriddhi
Anarha Avasthaa,Mukhalepa Pas`hchaat
Anarha Avasthaa,Nirooha Basti Pas`hchaat
Anarha Avasthaa,Vaataatapika Rasaayana Sevana Pas`hchaat
Effect on Dosha,Kapha Vilayana
Effect on Dosha,Vaataghna
Effect on Dhaatu,Dhaatu Drid`hatva
Effect on Dhaatu,Dhaatu Vardhaka
Effect on Dhaatu,Maamsa Vardhana
Effect on Dhaatu,Meda Vardhaka
Effect on Dhaatu,Rakta Prasaadana
Effect on Dhaatu,S`hukravardhaka
Effect on Upadhaatu,Tvak Daard`hyakara
Effect on Upadhaatu,Tvak Maardavakara
Effect on Upadhaatu,Tvak Prasaadana
Effect on Mala,Svedakara
Indriya,Drisht`i Prasaadana
Indriya,Indriya Prasaadaka
Effect on Manas,Mana Prasannatva
Effect on Ojas,Oja Vardhaka
Other Effect,Aayushkara
Other Effect,Baala Angavardhaka
More Information,Abhyanga.htm



